"(활)바위굴:통영(대)","2014-01-27","16000"
"(활)바위굴:삼천포(대)","2014-01-27","16000"
"(활)바위굴:사천(대)","2014-01-27","16000"
"(선)바위굴:통영(대)","2014-01-27","17100"
"(선)바위굴:마산(대)","2014-01-27","20000"
"(선)바위굴:통영(중)","2014-01-27","20500"
"(활)바위굴:통영(중)","2014-01-28","3200"
"(활)바위굴:통영(대)","2014-01-28","16000"
"(활)바위굴:마산(중)","2014-01-28","8000"
"(선)바위굴:통영(대)","2014-01-28","19800"
"(선)바위굴:마산(대)","2014-01-28","20000"
"(활)바위굴:마산(대)","2014-01-29","16000"
"(활)바위굴:통영(대)","2014-01-29","16200"
"(활)바위굴:마산(중)","2014-01-29","8500"
"(활)바위굴:삼천포(대)","2014-01-29","16000"
"(선)바위굴:통영(대)","2014-01-29","16700"
"(선)바위굴:마산(대)","2014-01-29","20000"
"(활)바위굴:통영(대)","2014-01-30","16000"
"(활)바위굴:사천(대)","2014-01-30","16000"
"(선)바위굴:통영(대)","2014-01-30","15400"
"(활)바위굴:삼천포(대)","2014-02-03","16000"
"(활)바위굴:통영(대)","2014-02-03","16000"
"(선)바위굴:통영(중)","2014-02-03","20000"
"(선)바위굴:통영(대)","2014-02-03","18500"
"(활)바위굴:삼천포(대)","2014-02-04","16000"
"(활)바위굴:사천(대)","2014-02-04","16000"
"(활)바위굴:마산(대)","2014-02-04","16000"
"(활)바위굴:통영(대)","2014-02-04","16000"
"(선)바위굴:통영(대)","2014-02-04","16800"
"(선)바위굴:마산(대)","2014-02-04","20000"
"(선)바위굴:통영(중)","2014-02-04","20000"
"(활)바위굴:마산(대)","2014-02-05","16000"
"(활)바위굴:삼천포(대)","2014-02-05","16000"
"(활)바위굴:통영(대)","2014-02-05","16000"
"(활)바위굴:사천(대)","2014-02-05","16000"
"(선)바위굴:통영(대)","2014-02-05","17900"
"(선)바위굴:마산(대)","2014-02-05","20000"
"(활)바위굴:사천(대)","2014-02-06","15800"
"(활)바위굴:통영(대)","2014-02-06","16000"
"(활)바위굴:마산(대)","2014-02-06","16000"
"(활)바위굴:삼천포(대)","2014-02-06","16000"
"(선)바위굴:통영(대)","2014-02-06","16000"
"(활)바위굴:사천(대)","2014-02-07","16000"
"(활)바위굴:통영(대)","2014-02-07","16000"
"(활)바위굴:마산(대)","2014-02-07","16000"
"(선)바위굴:마산(대)","2014-02-07","20000"
"(선)바위굴:통영(대)","2014-02-07","18900"
"(선)바위굴:통영(중)","2014-02-07","20000"
"(활)바위굴:사천(대)","2014-02-08","16000"
"(활)바위굴:삼천포(대)","2014-02-08","15900"
"(활)바위굴:마산(대)","2014-02-08","16000"
"(활)바위굴:통영(대)","2014-02-08","16000"
"(선)바위굴:마산(대)","2014-02-08","20000"
"(선)바위굴:통영(대)","2014-02-08","17900"
"(활)바위굴:마산(대)","2014-02-10","16000"
"(활)바위굴:여수(중)","2014-02-10","5100"
"(활)바위굴:통영(대)","2014-02-10","16800"
"(활)바위굴:사천(대)","2014-02-10","16000"
"(선)바위굴:통영(대)","2014-02-10","16800"
"(선)바위굴:통영(중)","2014-02-10","20000"
"(활)바위굴:삼천포(대)","2014-02-11","16000"
"(활)바위굴:통영(대)","2014-02-11","16800"
"(활)바위굴:마산(중)","2014-02-11","7000"
"(활)바위굴:통영(중)","2014-02-11","8000"
"(활)바위굴:마산(대)","2014-02-11","16000"
"(선)바위굴:통영(대)","2014-02-11","18000"
"(활)바위굴:사천(대)","2014-02-12","16000"
"(활)바위굴:마산(대)","2014-02-12","16000"
"(활)바위굴:통영(대)","2014-02-12","17200"
"(선)바위굴:통영(대)","2014-02-12","15000"
"(활)바위굴:마산(대)","2014-02-13","16000"
"(활)바위굴:마산(중)","2014-02-13","12000"
"(활)바위굴:사천(대)","2014-02-13","16000"
"(활)바위굴:통영(대)","2014-02-13","17100"
"(선)바위굴:통영(대)","2014-02-13","15000"
"(선)바위굴:통영(중)","2014-02-13","20000"
"(활)바위굴:마산(중)","2014-02-14","12000"
"(활)바위굴:사천(대)","2014-02-14","16000"
"(활)바위굴:마산(대)","2014-02-14","16000"
"(활)바위굴:통영(대)","2014-02-14","18400"
"(선)바위굴:통영(대)","2014-02-14","16000"
"(활)바위굴:사천(대)","2014-02-15","16000"
"(활)바위굴:사천(중)","2014-02-15","16000"
"(활)바위굴:통영(대)","2014-02-15","18100"
"(선)바위굴:통영(대)","2014-02-15","15000"
"(활)바위굴:통영(대)","2014-02-17","17600"
"(활)바위굴:사천(대)","2014-02-17","16000"
"(활)바위굴:마산(대)","2014-02-17","15800"
"(선)바위굴:통영(대)","2014-02-17","16200"
"(선)바위굴:통영(중)","2014-02-17","20000"
"(활)바위굴:마산(중)","2014-02-18","10000"
"(활)바위굴:사천(대)","2014-02-18","16000"
"(활)바위굴:마산(대)","2014-02-18","16000"
"(활)바위굴:통영(대)","2014-02-18","17600"
"(활)바위굴:여수(대)","2014-02-18","8000"
"(선)바위굴:통영(대)","2014-02-18","18700"
"(활)바위굴:통영(대)","2014-02-19","20700"
"(활)바위굴:마산(대)","2014-02-19","16100"
"(활)바위굴:사천(대)","2014-02-19","16000"
"(선)바위굴:통영(대)","2014-02-19","16500"
"(활)바위굴:통영(대)","2014-02-20","16000"
"(활)바위굴:사천(대)","2014-02-20","16000"
"(활)바위굴:여수(대)","2014-02-20","8000"
"(선)바위굴:통영(대)","2014-02-20","15000"
"(활)바위굴:통영(대)","2014-02-21","18400"
"(활)바위굴:사천(대)","2014-02-21","16000"
"(활)바위굴:마산(대)","2014-02-21","16200"
"(선)바위굴:통영(대)","2014-02-21","16500"
"(활)바위굴:마산(중)","2014-02-22","10000"
"(활)바위굴:사천(대)","2014-02-22","16000"
"(활)바위굴:여수(대)","2014-02-22","6600"
"(활)바위굴:마산(대)","2014-02-22","16000"
"(활)바위굴:통영(대)","2014-02-22","17600"
"(선)바위굴:통영(대)","2014-02-22","15000"
"(활)바위굴:충무(대)","2014-02-24","12000"
